cycle_id,status,probe_file,treatment_file,probe_captured_at,treatment_captured_at,probe_vpp,treatment_vpp,frequency_hz,burst_cycles,inter_burst_delay_ms,cycle_period_ms,note
34,complete,probe/cycle_000034.csv,treatment/cycle_000034.csv,2026-07-12T14:17:12.589,2026-07-12T14:17:13.033,4.5,7,612000,6000,200,1000,
35,complete,probe/cycle_000035.csv,treatment/cycle_000035.csv,2026-07-12T14:17:13.588,2026-07-12T14:17:14.013,4.5,7,612000,6000,200,1000,
36,complete,probe/cycle_000036.csv,treatment/cycle_000036.csv,2026-07-12T14:17:14.632,2026-07-12T14:17:15.076,4.5,7,612000,6000,200,1000,
37,complete,probe/cycle_000037.csv,treatment/cycle_000037.csv,2026-07-12T14:17:15.649,2026-07-12T14:17:16.090,4.5,7,612000,6000,200,1000,
38,complete,probe/cycle_000038.csv,treatment/cycle_000038.csv,2026-07-12T14:17:16.658,2026-07-12T14:17:17.102,4.5,7,612000,6000,200,1000,
39,complete,probe/cycle_000039.csv,treatment/cycle_000039.csv,2026-07-12T14:17:17.672,2026-07-12T14:17:18.113,4.5,7,612000,6000,200,1000,
40,complete,probe/cycle_000040.csv,treatment/cycle_000040.csv,2026-07-12T14:17:18.684,2026-07-12T14:17:19.129,4.5,7,612000,6000,200,1000,
41,complete,probe/cycle_000041.csv,treatment/cycle_000041.csv,2026-07-12T14:17:19.697,2026-07-12T14:17:20.138,4.5,7,612000,6000,200,1000,
42,complete,probe/cycle_000042.csv,treatment/cycle_000042.csv,2026-07-12T14:17:20.710,2026-07-12T14:17:21.152,4.5,7,612000,6000,200,1000,
43,complete,probe/cycle_000043.csv,treatment/cycle_000043.csv,2026-07-12T14:17:21.724,2026-07-12T14:17:22.167,4.5,7,612000,6000,200,1000,
44,complete,probe/cycle_000044.csv,treatment/cycle_000044.csv,2026-07-12T14:17:22.737,2026-07-12T14:17:23.182,4.5,7,612000,6000,200,1000,
45,complete,probe/cycle_000045.csv,treatment/cycle_000045.csv,2026-07-12T14:17:23.752,2026-07-12T14:17:24.180,4.5,7,612000,6000,200,1000,
46,complete,probe/cycle_000046.csv,treatment/cycle_000046.csv,2026-07-12T14:17:24.815,2026-07-12T14:17:25.256,4.5,7,612000,6000,200,1000,
47,complete,probe/cycle_000047.csv,treatment/cycle_000047.csv,2026-07-12T14:17:25.825,2026-07-12T14:17:26.265,4.5,7,612000,6000,200,1000,
48,complete,probe/cycle_000048.csv,treatment/cycle_000048.csv,2026-07-12T14:17:26.838,2026-07-12T14:17:27.280,4.5,7,612000,6000,200,1000,
49,complete,probe/cycle_000049.csv,treatment/cycle_000049.csv,2026-07-12T14:17:27.853,2026-07-12T14:17:28.293,4.5,7,612000,6000,200,1000,
50,complete,probe/cycle_000050.csv,treatment/cycle_000050.csv,2026-07-12T14:17:28.861,2026-07-12T14:17:29.303,4.5,7,612000,6000,200,1000,
51,complete,probe/cycle_000051.csv,treatment/cycle_000051.csv,2026-07-12T14:17:29.875,2026-07-12T14:17:30.316,4.5,7,612000,6000,200,1000,
52,complete,probe/cycle_000052.csv,treatment/cycle_000052.csv,2026-07-12T14:17:30.885,2026-07-12T14:17:31.330,4.5,7,612000,6000,200,1000,
53,complete,probe/cycle_000053.csv,treatment/cycle_000053.csv,2026-07-12T14:17:31.897,2026-07-12T14:17:32.342,4.5,7,612000,6000,200,1000,
54,complete,probe/cycle_000054.csv,treatment/cycle_000054.csv,2026-07-12T14:17:32.911,2026-07-12T14:17:33.354,4.5,7,612000,6000,200,1000,
55,complete,probe/cycle_000055.csv,treatment/cycle_000055.csv,2026-07-12T14:17:33.920,2026-07-12T14:17:34.363,4.5,7,612000,6000,200,1000,
56,complete,probe/cycle_000056.csv,treatment/cycle_000056.csv,2026-07-12T14:17:34.934,2026-07-12T14:17:35.376,4.5,7,612000,6000,200,1000,
57,complete,probe/cycle_000057.csv,treatment/cycle_000057.csv,2026-07-12T14:17:35.946,2026-07-12T14:17:36.387,4.5,7,612000,6000,200,1000,
58,complete,probe/cycle_000058.csv,treatment/cycle_000058.csv,2026-07-12T14:17:36.959,2026-07-12T14:17:37.365,4.5,7,612000,6000,200,1000,
59,complete,probe/cycle_000059.csv,treatment/cycle_000059.csv,2026-07-12T14:17:37.924,2026-07-12T14:17:38.304,4.5,7,612000,6000,200,1000,
60,complete,probe/cycle_000060.csv,treatment/cycle_000060.csv,2026-07-12T14:17:39.002,2026-07-12T14:17:39.445,4.5,7,612000,6000,200,1000,
61,complete,probe/cycle_000061.csv,treatment/cycle_000061.csv,2026-07-12T14:17:40.013,2026-07-12T14:17:40.437,4.5,7,612000,6000,200,1000,
62,complete,probe/cycle_000062.csv,treatment/cycle_000062.csv,2026-07-12T14:17:41.071,2026-07-12T14:17:41.513,4.5,7,612000,6000,200,1000,
63,complete,probe/cycle_000063.csv,treatment/cycle_000063.csv,2026-07-12T14:17:42.084,2026-07-12T14:17:42.527,4.5,7,612000,6000,200,1000,
64,complete,probe/cycle_000064.csv,treatment/cycle_000064.csv,2026-07-12T14:17:43.097,2026-07-12T14:17:43.537,4.5,7,612000,6000,200,1000,
65,complete,probe/cycle_000065.csv,treatment/cycle_000065.csv,2026-07-12T14:17:44.107,2026-07-12T14:17:44.546,4.5,7,612000,6000,200,1000,
66,complete,probe/cycle_000066.csv,treatment/cycle_000066.csv,2026-07-12T14:17:45.119,2026-07-12T14:17:45.558,4.5,7,612000,6000,200,1000,
67,complete,probe/cycle_000067.csv,treatment/cycle_000067.csv,2026-07-12T14:17:46.129,2026-07-12T14:17:46.573,4.5,7,612000,6000,200,1000,
