group,file,f0_hz,icd_estimated_f0,icd_fixed_608k,std_mv,ptp_mv,mean_mv,band_60_85k_power,band_450_750k_power,band_1_30_1_43m_power,top_peak_hz,top_peak_power
10 补测一组功放打开的，用做备用,capture_20260703_150150_235.csv,736000.0,2.8071428254262117e-05,3.180735888664862e-05,0.35132722954102175,2.441406,-0.8605465661199999,3.118271082674238e-05,3.055012829329827e-05,1.221883544598861e-05,128000.0,0.009943202094121494
10 补测一组功放打开的，用做备用,capture_20260703_150150_438.csv,634000.0,3.0488826159527356e-05,3.099849361152334e-05,0.3481348850776472,2.441406,-0.86472625036,1.6896558209298757e-05,2.624238216539669e-05,9.203637461350043e-06,128000.0,0.01048754783152282
10 补测一组功放打开的，用做备用,capture_20260703_150150_633.csv,636000.0,3.1727509147689554e-05,3.272588249941246e-05,0.35326188609212833,3.90625,-0.8525192212000001,3.6218686397080034e-05,3.260528579883047e-05,1.1496173700487978e-05,128000.0,0.010781129413066023
10 补测一组功放打开的，用做备用,capture_20260703_150150_834.csv,616000.0,3.29059989959869e-05,3.332247108330772e-05,0.3501119585879894,3.417968,-0.8498824998800001,2.7008776152704156e-05,3.2658691997866044e-05,9.285378907090013e-06,128000.0,0.01024483265556678
10 补测一组功放打开的，用做备用,capture_20260703_150151_044.csv,488000.0,4.7475409910723476e-05,3.481324159251126e-05,0.34583372644512833,2.9296870000000004,-0.8524606218,2.3991515495613367e-05,3.0477537423751483e-05,1.0771722120357115e-05,128000.0,0.011300833473968222
10 补测一组功放打开的，用做备用,capture_20260703_150151_236.csv,488000.0,5.4162140232339407e-05,3.335872724659902e-05,0.3521695837736367,2.9296870000000004,-0.9274215826,2.2647512593328154e-05,3.355199257743665e-05,1.4015252920476421e-05,128000.0,0.010630261923191832
10 补测一组功放打开的，用做备用,capture_20260703_150151_439.csv,700000.0,3.358783577817151e-05,3.2993771653849286e-05,0.3502763491240056,2.441406,-0.8681832848400001,1.467280359166162e-05,2.9363001537210114e-05,1.0309747329157094e-05,128000.0,0.010043609340688146
10 补测一组功放打开的，用做备用,capture_20260703_150151_641.csv,488000.0,5.9072337147858107e-05,3.524308116092101e-05,0.34932636521427995,3.417968,-0.8715035958799999,1.8598636305014437e-05,3.1342427338762954e-05,1.0467355903352821e-05,128000.0,0.01117852958486958
10 补测一组功放打开的，用做备用,capture_20260703_150151_835.csv,616000.0,3.2555971106724754e-05,3.1421102061209727e-05,0.34754185640029883,2.9296870000000004,-0.84742156056,3.79468526258706e-05,2.3804880452703828e-05,1.0380552794622305e-05,128000.0,0.010147288258218527
10 补测一组功放打开的，用做备用,capture_20260703_150152_043.csv,700000.0,2.9536314292961394e-05,3.1289023619536894e-05,0.3497119544269203,2.9296870000000004,-0.83494109176,2.506885268688693e-05,2.9727449373472002e-05,1.2028112636864336e-05,128000.0,0.010609447332591181
10 补测一组功放打开的，用做备用,capture_20260703_150152_238.csv,574000.0,3.4018912249463956e-05,3.4156792692076885e-05,0.34661177620683914,2.9296870000000004,-0.85931609248,2.0875017446992428e-05,2.8774780358237565e-05,1.1607314472868967e-05,128000.0,0.01040555723158898
10 补测一组功放打开的，用做备用,capture_20260703_150152_431.csv,634000.0,3.198829031131382e-05,3.297645282301369e-05,0.3501066005251436,3.417968,-0.8899215708,1.591217154291213e-05,3.342928616216767e-05,1.1674477387313827e-05,128000.0,0.010612392958299195
10 补测一组功放打开的，用做备用,capture_20260703_150152_642.csv,528000.0,4.5558200150324726e-05,3.0356292759975667e-05,0.34593555020174566,2.441406,-0.85988249744,2.584083204512909e-05,3.15820066930767e-05,1.1995948794956307e-05,128000.0,0.009701147882352481
10 补测一组功放打开的，用做备用,capture_20260703_150152_833.csv,616000.0,3.383993110880404e-05,3.455667424270463e-05,0.34684026123747386,2.9296870000000004,-0.8835153149599999,1.4435276926928876e-05,2.853481628540188e-05,1.2590975465655126e-05,128000.0,0.010364461599022094
10 补测一组功放打开的，用做备用,capture_20260703_150153_032.csv,530000.0,4.146064344890558e-05,3.4107664775014635e-05,0.3474417563160702,2.441406,-0.8506637482399998,1.842869907858158e-05,3.188638823814577e-05,1.1005653712412913e-05,128000.0,0.010393670687453423
10 补测一组功放打开的，用做备用,capture_20260703_150153_230.csv,594000.0,3.154826078410365e-05,3.097927641239758e-05,0.3492251142942099,3.417968,-0.88884735,2.2045497199393165e-05,3.208523686468448e-05,1.0644576267963405e-05,128000.0,0.010675460884442265
10 补测一组功放打开的，用做备用,capture_20260703_150153_440.csv,488000.0,6.095177057613326e-05,3.2527474339463855e-05,0.3503536766737121,2.9296870000000004,-0.8924996958,2.9382438994122627e-05,2.9766916964711745e-05,1.0882642457966867e-05,128000.0,0.010728281864976295
10 补测一组功放打开的，用做备用,capture_20260703_150153_633.csv,616000.0,3.084495007699655e-05,3.257375170001677e-05,0.3492280342155737,2.9296870000000004,-0.8567770323599999,1.561546696510414e-05,2.8322821057811872e-05,9.635314366254769e-06,128000.0,0.010483098563159533
10 补测一组功放打开的，用做备用,capture_20260703_150153_828.csv,574000.0,3.547453263750512e-05,3.152342452245402e-05,0.35042721010761746,2.441406,-0.85367156176,3.0059915165363912e-05,3.116358171718346e-05,9.381765567250883e-06,128000.0,0.010368297648241955
10 补测一组功放打开的，用做备用,capture_20260703_150154_042.csv,488000.0,5.2495737601192084e-05,3.291124921278425e-05,0.3531858025988954,2.9296870000000004,-0.83966765644,2.516243271599162e-05,3.090687674984246e-05,1.1216872557821267e-05,128000.0,0.01152326525519953
10 补测一组功放打开的，用做备用,capture_20260703_150154_237.csv,616000.0,3.437432491225402e-05,3.567219379252911e-05,0.3498153257324428,2.9296870000000004,-0.8514059364000001,1.4408751702519946e-05,2.8440654287656225e-05,1.4488243737714313e-05,128000.0,0.009960647536330813
10 补测一组功放打开的，用做备用,capture_20260703_150154_444.csv,616000.0,3.316627061351049e-05,3.256902734204596e-05,0.3492310906576478,2.9296870000000004,-0.8382028088800001,2.34461247263595e-05,3.0461599293386514e-05,1.3023990850441898e-05,128000.0,0.01093051978179144
10 补测一组功放打开的，用做备用,capture_20260703_150154_639.csv,488000.0,5.602918897460861e-05,3.459123473882884e-05,0.3493973963372815,2.9296870000000004,-0.86869109456,2.846479067798122e-05,2.9277988851742237e-05,1.152372701223712e-05,128000.0,0.010797372110146378
10 补测一组功放打开的，用做备用,capture_20260703_150154_835.csv,616000.0,3.38686919852863e-05,3.550554809259303e-05,0.3508969652511459,2.9296870000000004,-0.8332028100400001,3.307706916705942e-05,3.0398915089339217e-05,1.3120658262833803e-05,128000.0,0.011028311781432628
10 补测一组功放打开的，用做备用,capture_20260703_150155_040.csv,488000.0,6.214004464405402e-05,3.2198695529189e-05,0.3484387892489485,2.9296870000000004,-0.86890593768,1.6895995418439557e-05,3.101995961549035e-05,1.3350227168566147e-05,128000.0,0.011395632561798505
10 补测一组功放打开的，用做备用,capture_20260703_150155_231.csv,572000.0,3.393974852411923e-05,3.501581202573193e-05,0.35238646971419985,2.9296870000000004,-0.8808200066399999,1.8675806218955196e-05,3.127986406538446e-05,1.3391326169580222e-05,128000.0,0.011057127186511997
10 补测一组功放打开的，用做备用,capture_20260703_150155_436.csv,616000.0,3.3519356274669186e-05,3.406418956018866e-05,0.3491976158514322,2.9296870000000004,-0.8443551550399999,1.2065263083347627e-05,2.6506146205325634e-05,1.180519066233727e-05,128000.0,0.011190568246864797
10 补测一组功放打开的，用做备用,capture_20260703_150155_642.csv,594000.0,3.335734559484678e-05,3.2066863564823716e-05,0.349635572520391,2.9296870000000004,-0.8746676587199999,2.997744151358373e-05,3.27010273206738e-05,1.2079337213339145e-05,128000.0,0.010018548394779123
10 补测一组功放打开的，用做备用,capture_20260703_150155_842.csv,488000.0,5.136170890760528e-05,3.13371944497533e-05,0.3482393846600693,2.9296870000000004,-0.84927702944,1.9283512414528308e-05,2.4710420597761764e-05,9.007274040240846e-06,128000.0,0.009788601040469028
10 补测一组功放打开的，用做备用,capture_20260703_150156_044.csv,488000.0,5.0354613657373756e-05,3.297937078718599e-05,0.3520520605261802,2.441406,-0.8502535944400001,1.8461611899072595e-05,3.174477509994778e-05,1.3596792233146046e-05,128000.0,0.010813511660290565
10 补测一组功放打开的，用做备用,capture_20260703_150156_231.csv,722000.0,3.0373720665652332e-05,3.235025731736962e-05,0.34715954121586884,2.9296870000000004,-0.84906218404,2.26288316570044e-05,2.443612082487007e-05,1.3268420920810802e-05,128000.0,0.010742168324990118
10 补测一组功放打开的，用做备用,capture_20260703_150156_441.csv,616000.0,3.141523711996776e-05,3.3455398049402044e-05,0.3497220443560122,2.441406,-0.83499968632,2.0490096000509295e-05,2.4747295376367295e-05,1.0928240152822588e-05,128000.0,0.011232976695428856
10 补测一组功放打开的，用做备用,capture_20260703_150156_647.csv,616000.0,3.1760306398794765e-05,3.247915774952526e-05,0.34676387841187173,2.441406,-0.8214645248000001,1.4718609226902142e-05,2.9609457480245527e-05,9.38608106280294e-06,128000.0,0.009477637680644385
10 补测一组功放打开的，用做备用,capture_20260703_150156_836.csv,616000.0,3.2956548467249476e-05,3.392207122508336e-05,0.3500872142863068,2.9296870000000004,-0.84101531048,2.4379314000464513e-05,3.289116650276803e-05,1.2687850041226258e-05,128000.0,0.010592364060811078
10 补测一组功放打开的，用做备用,capture_20260703_150157_040.csv,616000.0,3.1178248782298173e-05,3.2723637005552925e-05,0.3492912497150504,2.441406,-0.8366403090399999,1.3958451620274756e-05,2.6265092445497966e-05,1.022258346260325e-05,128000.0,0.010957849077958052
10 补测一组功放打开的，用做备用,capture_20260703_150157_242.csv,616000.0,3.338120461851461e-05,3.343378497511659e-05,0.3475176531878721,3.417968,-0.8472457789199999,1.1442299652443294e-05,2.852891394744787e-05,1.3703963843704733e-05,128000.0,0.01011015027169309
10 补测一组功放打开的，用做备用,capture_20260703_150157_428.csv,616000.0,3.06184210916454e-05,3.099986140359965e-05,0.3482680503163008,3.417968,-0.8735934376799998,2.0728412721037924e-05,2.818326039542301e-05,1.0837599556523886e-05,128000.0,0.011022211548059917
10 补测一组功放打开的，用做备用,capture_20260703_150157_629.csv,616000.0,3.3468895281370454e-05,3.3672952071028425e-05,0.3507734942790118,2.9296870000000004,-0.8441989058800001,3.0266600906285493e-05,2.6511288840962278e-05,1.3318581811537928e-05,128000.0,0.011228755042999262
10 补测一组功放打开的，用做备用,capture_20260703_150157_837.csv,488000.0,6.494290932516636e-05,3.217017959199195e-05,0.3498882145804542,2.9296870000000004,-0.8444137477999999,2.6784544133392373e-05,3.5762783280489976e-05,1.24323790109052e-05,128000.0,0.010178566472179261
10 补测一组功放打开的，用做备用,capture_20260703_150158_045.csv,488000.0,5.758458085394859e-05,3.4009221650984024e-05,0.3473834130911718,2.929687,-0.8395895284,2.516496286601023e-05,2.921237104217889e-05,1.0628236787415488e-05,128000.0,0.011089916846723466
10 补测一组功放打开的，用做备用,capture_20260703_150158_240.csv,616000.0,3.241124115189539e-05,3.376967628333118e-05,0.3445231245520952,2.9296870000000004,-0.8054879608,2.166981793936181e-05,3.188960994690626e-05,1.2318284967487771e-05,128000.0,0.009789568610364351
10 补测一组功放打开的，用做备用,capture_20260703_150158_438.csv,616000.0,3.587988857301892e-05,3.612644009621699e-05,0.3461363934385593,2.441406,-0.82408171284,1.0400936751921224e-05,2.694743386947016e-05,1.1763377389599244e-05,128000.0,0.009360972881182648
10 补测一组功放打开的，用做备用,capture_20260703_150158_634.csv,616000.0,3.228687680765424e-05,3.4259758158459216e-05,0.34476321401432475,2.9296870000000004,-0.8307809311600001,1.7100057441126497e-05,3.1353382327337015e-05,1.0600303813738109e-05,128000.0,0.010083470912998986
10 补测一组功放打开的，用做备用,capture_20260703_150158_844.csv,616000.0,3.111515154330709e-05,3.183379842939826e-05,0.3507558768483711,2.9296870000000004,-0.8433981234399999,1.0487010198674238e-05,2.5466896163972976e-05,8.278481242449715e-06,128000.0,0.011308065654546921
10 补测一组功放打开的，用做备用,capture_20260703_150159_040.csv,616000.0,3.4714431687213e-05,3.4368161117896104e-05,0.34943457603809536,3.417968,-0.8297067152400001,2.263977362383038e-05,2.6884351689997422e-05,1.0737028842488779e-05,128000.0,0.011533435564252893
10 补测一组功放打开的，用做备用,capture_20260703_150159_230.csv,728000.0,3.1473377842233665e-05,3.2891405904093195e-05,0.3508060573333056,2.9296870000000004,-0.8416793740799999,2.4587353671202313e-05,3.3599534961154945e-05,1.1280653667958973e-05,128000.0,0.010141979439266265
10 补测一组功放打开的，用做备用,capture_20260703_150159_437.csv,488000.0,5.093932009477029e-05,3.3340353705169763e-05,0.353692494092437,3.417968,-0.84498015712,1.8850985495063993e-05,2.8407929108053403e-05,1.106185285042566e-05,128000.0,0.011766552721322992
10 补测一组功放打开的，用做备用,capture_20260703_150159_629.csv,488000.0,4.868354563299321e-05,3.2155843376411005e-05,0.3506453660471323,2.9296870000000004,-0.8004684334400001,1.3750776530103962e-05,3.173526990300747e-05,1.1833073578311245e-05,128000.0,0.01054241109642498
