group,file,std_mv,ptp_mv,icd_fixed_608k,peak_128_hz,peak_128_amp_mv,peak_608_hz,peak_608_amp_mv,band_1_20k,band_45_65k,band_120_136k,band_1_30_1_43m,band_1_0_3_3m
10 补测一组功放打开的，用做备用,capture_20260703_150153_633.csv,0.3492280342155737,2.9296870000000004,3.257375170001677e-05,128000.0,0.10238700387822437,616000.0,0.013454175572623735,6.27612748619494e-05,1.628056232824458e-05,0.0019486588386100148,9.635314366254769e-06,1.1040486528918145e-05
10 补测一组功放打开的，用做备用,capture_20260703_150153_828.csv,0.35042721010761746,2.441406,3.152342452245402e-05,128000.0,0.10182483807127785,574000.0,0.012647834479244084,1.618347299173862e-05,1.937856957002488e-05,0.002018987189696091,9.381765567250883e-06,1.1093916579785412e-05
10 补测一组功放打开的，用做备用,capture_20260703_150154_042.csv,0.3531858025988954,2.9296870000000004,3.291124921278425e-05,128000.0,0.10734647295183726,616000.0,0.012106283763855974,5.7506337170066004e-05,2.305168880319256e-05,0.0020095203591700525,1.1216872557821267e-05,1.1299479739917135e-05
10 补测一组功放打开的，用做备用,capture_20260703_150154_237.csv,0.3498153257324428,2.9296870000000004,3.567219379252911e-05,128000.0,0.09980304372277837,616000.0,0.012550674190020214,1.6821870251437875e-05,1.505048326832732e-05,0.0018939378519480105,1.4488243737714313e-05,1.1643135171632632e-05
10 补测一组功放打开的，用做备用,capture_20260703_150154_444.csv,0.3492310906576478,2.9296870000000004,3.256902734204596e-05,128000.0,0.10454912616464779,616000.0,0.014407177752883738,3.1043357461485685e-05,1.6503392262178168e-05,0.001995436739840018,1.3023990850441898e-05,1.1760452016812844e-05
10 补测一组功放打开的，用做备用,capture_20260703_150154_639.csv,0.3493973963372815,2.9296870000000004,3.459123473882884e-05,128000.0,0.10391040424397538,616000.0,0.01188799843519756,2.560859507183786e-05,1.9752997155195508e-05,0.0018972812091516593,1.152372701223712e-05,1.1638852183635533e-05
10 补测一组功放打开的，用做备用,capture_20260703_150154_835.csv,0.3508969652511459,2.9296870000000004,3.550554809259303e-05,128000.0,0.10501576920364211,616000.0,0.015065465419349172,1.509151394345908e-05,2.4465517873635665e-05,0.0019811969834130252,1.3120658262833803e-05,1.1560923276820875e-05
10 补测一组功放打开的，用做备用,capture_20260703_150155_040.csv,0.3484387892489485,2.9296870000000004,3.2198695529189e-05,128000.0,0.10675032815780242,630000.0,0.010759700212106071,2.5474934082968682e-05,1.4498554458474914e-05,0.0019212388174235586,1.3350227168566147e-05,1.0939538177443309e-05
10 补测一组功放打开的，用做备用,capture_20260703_150155_231.csv,0.35238646971419985,2.9296870000000004,3.501581202573193e-05,128000.0,0.1051528753126228,572000.0,0.011183968893269232,1.3114009015429887e-05,1.780370974819705e-05,0.001984740589312905,1.3391326169580222e-05,1.1393352440470027e-05
10 补测一组功放打开的，用做备用,capture_20260703_150155_436.csv,0.3491976158514322,2.9296870000000004,3.406418956018866e-05,128000.0,0.10578548221218637,616000.0,0.012449498436991772,2.5675788884809234e-05,1.4061757340308918e-05,0.002045710090729564,1.180519066233727e-05,1.1698638199307602e-05
