cycle_id,status,probe_file,treatment_file,probe_captured_at,treatment_captured_at,probe_vpp,treatment_vpp,frequency_hz,burst_cycles,inter_burst_delay_ms,cycle_period_ms,probe_quality_db,uhe_db,uhe_active_band_count,uhe_confirmed,be_db,safe_uhe_increment,cumulative_safe_uhe_dose,decision_state,decision_label,note
46,complete,probe/cycle_000046.csv,treatment/cycle_000046.csv,2026-07-16T15:54:52.887,2026-07-16T15:54:53.311,3,7,612000,6000,200,1000,49.4277,-2.1723,0,False,-2.3832,0,0,not_open,未达到开窗剂量,
47,complete,probe/cycle_000047.csv,treatment/cycle_000047.csv,2026-07-16T15:54:53.943,2026-07-16T15:54:54.383,3,7,612000,6000,200,1000,46.592,1.90515,1,False,-2.78886,0,0,not_open,未达到开窗剂量,
48,complete,probe/cycle_000048.csv,treatment/cycle_000048.csv,2026-07-16T15:54:54.949,2026-07-16T15:54:55.389,3,7,612000,6000,200,1000,60.2797,-1.22665,0,False,-2.85259,0,0,not_open,未达到开窗剂量,
49,complete,probe/cycle_000049.csv,treatment/cycle_000049.csv,2026-07-16T15:54:55.955,2026-07-16T15:54:56.397,3,7,612000,6000,200,1000,55.3103,2.18341,2,False,-3.19247,0,0,not_open,未达到开窗剂量,
50,complete,probe/cycle_000050.csv,treatment/cycle_000050.csv,2026-07-16T15:54:56.962,2026-07-16T15:54:57.403,3,7,612000,6000,200,1000,54.8983,-3.492,0,False,-3.89685,0,0,not_open,未达到开窗剂量,
51,complete,probe/cycle_000051.csv,treatment/cycle_000051.csv,2026-07-16T15:54:57.972,2026-07-16T15:54:58.407,3,7,612000,6000,200,1000,48.2649,0.683666,1,False,-3.19325,0,0,not_open,未达到开窗剂量,
52,complete,probe/cycle_000052.csv,treatment/cycle_000052.csv,2026-07-16T15:54:58.972,2026-07-16T15:54:59.412,3,7,612000,6000,200,1000,52.5959,5.35876,2,False,-2.65159,0,0,not_open,未达到开窗剂量,
53,complete,probe/cycle_000053.csv,treatment/cycle_000053.csv,2026-07-16T15:54:59.978,2026-07-16T15:55:00.419,3,7,612000,6000,200,1000,45.028,-1.58799,0,False,-4.30025,0,0,not_open,未达到开窗剂量,
54,complete,probe/cycle_000054.csv,treatment/cycle_000054.csv,2026-07-16T15:55:00.986,2026-07-16T15:55:01.407,3,7,612000,6000,200,1000,55.294,2.9256,1,False,-2.79413,0,0,not_open,未达到开窗剂量,
55,complete,probe/cycle_000055.csv,treatment/cycle_000055.csv,2026-07-16T15:55:02.036,2026-07-16T15:55:02.462,3,7,612000,6000,200,1000,54.4549,1.49743,1,False,-4.98466,0,0,not_open,未达到开窗剂量,
56,complete,probe/cycle_000056.csv,treatment/cycle_000056.csv,2026-07-16T15:55:03.086,2026-07-16T15:55:03.524,3,7,612000,6000,200,1000,51.1598,1.84521,1,False,-3.4923,0,0,not_open,未达到开窗剂量,
