cycle_id,status,probe_file,treatment_file,probe_captured_at,treatment_captured_at,probe_vpp,treatment_vpp,frequency_hz,burst_cycles,inter_burst_delay_ms,cycle_period_ms,probe_quality_db,uhe_db,uhe_active_band_count,uhe_confirmed,be_db,safe_uhe_increment,cumulative_safe_uhe_dose,decision_state,decision_label,note
37,complete,probe/cycle_000037.csv,treatment/cycle_000037.csv,2026-07-12T17:44:24.341,2026-07-12T17:44:24.816,4.5,7,612000,6000,200,1000,47.9804,0.162582,0,False,0.142786,0,0,not_open,未达到开窗剂量,
38,complete,probe/cycle_000038.csv,treatment/cycle_000038.csv,2026-07-12T17:44:25.356,2026-07-12T17:44:25.847,4.5,7,612000,6000,200,1000,48.0749,-0.809259,0,False,-0.377737,0,0,not_open,未达到开窗剂量,
39,complete,probe/cycle_000039.csv,treatment/cycle_000039.csv,2026-07-12T17:44:26.385,2026-07-12T17:44:26.863,4.5,7,612000,6000,200,1000,48.182,0.536988,0,False,-0.164749,0,0,not_open,未达到开窗剂量,
40,complete,probe/cycle_000040.csv,treatment/cycle_000040.csv,2026-07-12T17:44:27.448,2026-07-12T17:44:27.925,4.5,7,612000,6000,200,1000,48.7418,-0.246245,0,False,0.457355,0,0,not_open,未达到开窗剂量,
41,complete,probe/cycle_000041.csv,treatment/cycle_000041.csv,2026-07-12T17:44:28.462,2026-07-12T17:44:28.940,4.5,7,612000,6000,200,1000,48.4367,-1.34863,0,False,-1.10789,0,0,not_open,未达到开窗剂量,
42,complete,probe/cycle_000042.csv,treatment/cycle_000042.csv,2026-07-12T17:44:29.477,2026-07-12T17:44:29.951,4.5,7,612000,6000,200,1000,48.2453,0.926083,0,False,-0.129653,0,0,not_open,未达到开窗剂量,
43,complete,probe/cycle_000043.csv,treatment/cycle_000043.csv,2026-07-12T17:44:30.491,2026-07-12T17:44:30.966,4.5,7,612000,6000,200,1000,47.8628,-1.46242,0,False,-1.13131,0,0,not_open,未达到开窗剂量,
44,complete,probe/cycle_000044.csv,treatment/cycle_000044.csv,2026-07-12T17:44:31.506,2026-07-12T17:44:31.966,4.5,7,612000,6000,200,1000,48.4138,-0.0538974,0,False,-0.582253,0,0,not_open,未达到开窗剂量,
45,complete,probe/cycle_000045.csv,treatment/cycle_000045.csv,2026-07-12T17:44:32.509,2026-07-12T17:44:32.985,4.5,7,612000,6000,200,1000,47.8357,-0.34745,0,False,0.426954,0,0,not_open,未达到开窗剂量,
46,complete,probe/cycle_000046.csv,treatment/cycle_000046.csv,2026-07-12T17:44:33.523,2026-07-12T17:44:33.984,4.5,7,612000,6000,200,1000,47.8506,0.396628,0,False,0.171825,0,0,not_open,未达到开窗剂量,
47,complete,probe/cycle_000047.csv,treatment/cycle_000047.csv,2026-07-12T17:44:34.540,2026-07-12T17:44:35.015,4.5,7,612000,6000,200,1000,48.3702,-0.187051,0,False,0.293046,0,0,not_open,未达到开窗剂量,
48,complete,probe/cycle_000048.csv,treatment/cycle_000048.csv,2026-07-12T17:44:35.555,2026-07-12T17:44:36.027,4.5,7,612000,6000,200,1000,47.7398,2.50546,1,False,1.41011,0,0,not_open,未达到开窗剂量,
49,complete,probe/cycle_000049.csv,treatment/cycle_000049.csv,2026-07-12T17:44:36.567,2026-07-12T17:44:37.044,4.5,7,612000,6000,200,1000,47.5864,-2.10073,0,False,-1.19885,0,0,not_open,未达到开窗剂量,
50,complete,probe/cycle_000050.csv,treatment/cycle_000050.csv,2026-07-12T17:44:37.582,2026-07-12T17:44:38.058,4.5,7,612000,6000,200,1000,47.6808,1.95016,1,False,2.3031,0,0,not_open,未达到开窗剂量,
51,complete,probe/cycle_000051.csv,treatment/cycle_000051.csv,2026-07-12T17:44:38.595,2026-07-12T17:44:39.072,4.5,7,612000,6000,200,1000,47.7105,-0.0374864,0,False,0.313601,0,0,not_open,未达到开窗剂量,
52,complete,probe/cycle_000052.csv,treatment/cycle_000052.csv,2026-07-12T17:44:39.620,2026-07-12T17:44:40.123,4.5,7,612000,6000,200,1000,48.0624,-0.251655,0,False,0.0789158,0,0,not_open,未达到开窗剂量,
53,complete,probe/cycle_000053.csv,treatment/cycle_000053.csv,2026-07-12T17:44:40.658,2026-07-12T17:44:41.160,4.5,7,612000,6000,200,1000,47.7732,-0.7335,0,False,-0.303158,0,0,not_open,未达到开窗剂量,
54,complete,probe/cycle_000054.csv,treatment/cycle_000054.csv,2026-07-12T17:44:41.693,2026-07-12T17:44:42.167,4.5,7,612000,6000,200,1000,48.3774,0.174023,1,False,1.19969,0,0,not_open,未达到开窗剂量,
55,complete,probe/cycle_000055.csv,treatment/cycle_000055.csv,2026-07-12T17:44:42.699,2026-07-12T17:44:43.168,4.5,7,612000,6000,200,1000,47.4616,-0.567683,0,False,-0.228129,0,0,not_open,未达到开窗剂量,
