cycle_id,status,probe_file,treatment_file,probe_captured_at,treatment_captured_at,probe_vpp,treatment_vpp,frequency_hz,burst_cycles,inter_burst_delay_ms,cycle_period_ms,probe_quality_db,uhe_db,uhe_active_band_count,uhe_confirmed,be_db,safe_uhe_increment,cumulative_safe_uhe_dose,decision_state,decision_label,note
38,complete,probe/cycle_000038.csv,treatment/cycle_000038.csv,2026-07-16T15:59:03.259,2026-07-16T15:59:03.696,3,7,612000,6000,200,1000,54.0807,8.91588,2,False,-2.11135,0,74.3788,not_open,未达到开窗剂量,
39,complete,probe/cycle_000039.csv,treatment/cycle_000039.csv,2026-07-16T15:59:04.225,2026-07-16T15:59:04.585,3,7,612000,6000,200,1000,52.4083,8.10856,2,False,-2.55829,0,74.3788,not_open,未达到开窗剂量,
40,complete,probe/cycle_000040.csv,treatment/cycle_000040.csv,2026-07-16T15:59:05.246,2026-07-16T15:59:05.604,3,7,612000,6000,200,1000,54.6392,10.9269,2,False,-3.67299,0,74.3788,not_open,未达到开窗剂量,
41,complete,probe/cycle_000041.csv,treatment/cycle_000041.csv,2026-07-16T15:59:06.266,2026-07-16T15:59:06.645,3,7,612000,6000,200,1000,52.7021,13.7908,3,True,-2.68173,21.9425,96.3213,not_open,未达到开窗剂量,
42,complete,probe/cycle_000042.csv,treatment/cycle_000042.csv,2026-07-16T15:59:07.336,2026-07-16T15:59:07.774,3,7,612000,6000,200,1000,54.3943,12.1469,3,True,-2.32475,14.399,110.72,not_open,未达到开窗剂量,
43,complete,probe/cycle_000043.csv,treatment/cycle_000043.csv,2026-07-16T15:59:08.343,2026-07-16T15:59:08.753,3,7,612000,6000,200,1000,52.5781,10.9943,2,False,-4.2367,0,110.72,not_open,未达到开窗剂量,
44,complete,probe/cycle_000044.csv,treatment/cycle_000044.csv,2026-07-16T15:59:09.312,2026-07-16T15:59:09.689,3,7,612000,6000,200,1000,54.0303,10.2438,2,False,-2.62513,0,110.72,not_open,未达到开窗剂量,
45,complete,probe/cycle_000045.csv,treatment/cycle_000045.csv,2026-07-16T15:59:10.344,2026-07-16T15:59:10.736,3,7,612000,6000,200,1000,53.4807,11.4576,2,False,-3.0389,0,110.72,not_open,未达到开窗剂量,
46,complete,probe/cycle_000046.csv,treatment/cycle_000046.csv,2026-07-16T15:59:11.431,2026-07-16T15:59:11.875,3,7,612000,6000,200,1000,52.9224,11.4122,3,True,-4.50712,11.8473,122.568,not_open,未达到开窗剂量,
47,complete,probe/cycle_000047.csv,treatment/cycle_000047.csv,2026-07-16T15:59:12.427,2026-07-16T15:59:12.867,3,7,612000,6000,200,1000,54.2263,11.9835,2,False,-2.99027,0,122.568,not_open,未达到开窗剂量,
